route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,trip_note,route_direction
2441_391,272,611312,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,611313,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,611314,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,611315,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,611316,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_393,272,611323,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,356,611324,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,356,611325,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,356,611326,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,356,611327,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,356,611328,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_391,356,611373,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_395,272,611426,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,611440,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,611441,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,611442,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_393,272,611445,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,611446,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,611447,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_391,272,611448,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
